timestamp,battery_level,battery_voltage,battery_current,battery_power,battery_temperature,screen_status,bright_level,cpu_usage,frequency_core0,frequency_core1,frequency_core2,frequency_core3,frequency_core4,frequency_core5,frequency_core6,frequency_core7,wifi_status,wifi_rx,wifi_tx,wifi_intensity,mobile_status,mobile_mode,mobile_rx,mobile_tx,network_mode,gps_activity,bluetooth
0,0.68,4.11,-1.298339,-5.33617329,34.7,1,7,72,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,526,-51,0,0,0,0,1,1,0
1,0.68,4.018,-0.891112,-3.5804882335566406,34.7,1,7,62,1804.8,1804.8,1804.8,1804.8,1056.0,1056.0,1056.0,844.8,1,585,526,-51,0,0,0,0,1,1,0
2,0.68,4.03,-0.632812,-2.550232514495117,34.7,1,7,87,1171.2,1171.2,1171.2,1171.2,710.4,710.4,710.4,844.8,1,585,526,-51,0,0,0,0,1,1,0
3,0.68,4.031,-0.621581,-2.505593162753174,34.7,1,7,22,1248.0,1248.0,1248.0,1248.0,710.4,710.4,710.4,844.8,1,6,526,-49,0,0,0,0,1,1,0
4,0.68,4.039,-0.452148,-1.826225772,34.7,1,7,14,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,6,526,-49,0,0,0,0,1,1,0
5,0.68,4.039,-0.487792,-1.970191888,34.7,1,7,35,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,6,526,-49,0,0,0,0,1,1,0
6,0.68,4.039,-0.507323,-2.049077597,34.7,1,7,91,1804.8,1804.8,1804.8,1804.8,2419.2,2419.2,2419.2,1516.8,1,585,468,-45,0,0,0,0,1,1,0
7,0.68,4.035,-0.694823,-2.8036106353654784,34.7,0,7,50,1804.8,1804.8,1804.8,1804.8,1286.4,1286.4,1286.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
8,0.68,4.035,-0.337402,-1.3614169876264648,34.7,0,7,12,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
9,0.68,4.035,-0.272949,-1.1013491483620603,34.7,0,7,20,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
10,0.68,4.044,-0.271484,-1.0978813622802734,34.7,0,7,14,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
11,0.68,4.057,-0.03955,-0.1604543596557617,34.7,0,7,50,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
12,0.68,4.044,-0.271484,-1.0978813622802734,34.7,0,7,14,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
13,0.68,4.044,-0.33789,-1.3664272424926758,34.7,0,7,87,1804.8,1804.8,1804.8,1804.8,2419.2,2419.2,2419.2,844.8,1,585,468,-45,0,0,0,0,1,1,0
14,0.68,4.044,-0.710937,-2.875029401568604,34.7,0,7,66,1708.8,1708.8,1708.8,1708.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
15,0.68,4.044,-0.34912,-1.411841365234375,34.7,0,7,17,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
16,0.68,4.044,-0.178222,-0.7207298115112305,34.7,0,7,40,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
17,0.68,4.044,-0.24707,-0.9991511403198242,34.7,0,7,20,1516.8,1516.8,1516.8,1516.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
18,0.68,4.044,-0.219726,-0.8885719976440429,34.7,0,7,46,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
19,0.68,4.047,-0.171874,-0.695574078,34.7,0,7,50,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
20,0.68,4.047,-0.281249,-1.138214703,34.7,0,7,22,1804.8,1804.8,1804.8,1804.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
21,0.68,4.048,-0.138183,-0.559364750263916,34.7,0,7,34,1420.8,1420.8,1420.8,1420.8,710.4,710.4,710.4,844.8,1,585,468,-45,0,0,0,0,1,1,0
22,0.68,4.053,-1.130858,-4.583367474,34.7,0,7,53,1248.0,1248.0,1248.0,1248.0,1862.4,1862.4,1862.4,3187.2,1,585,526,-45,0,0,0,0,1,1,0
23,0.68,4.053,-0.679687,-2.754771411,34.7,0,7,36,1708.8,1708.8,1708.8,1708.8,710.4,710.4,710.4,844.8,1,585,526,-45,0,0,0,0,1,1,0
